Q_ID	Skill_id	Site_ID	Question_text_ru	Question_text_en	Answer	Fake_answer1	Fake_answer2	Clue	Video_url	Vid_ID	Vid_descr_local	Vid_guest_ID	Vid_channel_ID	Chapter_ID	Timestamp
319	1	1	Какие типы шрифтов можно использовать в UI? 	What types of fonts can be used in UI?	Санс-сериф, шрифт с засечками (Sans-serif, serif font)	Пасхальные яйца (Easter eggs)									
320	1	1	Что такое брейкпоинт в UI? 	What is a breakpoint in UI?	Точка, где меняется расположение элементов на разных устройствах (A point where the arrangement of elements changes on different devices)	Иероглифы									
321	1	1	Как можно протестировать UI прототипы перед выпуском? 	How can you test UI prototypes before release?	Тестирование на устройствах или в веб-браузере (Testing on devices or in a web browser)	Момент пылесоса (Vacuum cleaner moment)									
322	1	1	Как называется процесс сборки и запуска UI интерфейса на реальных устройствах? 	What is the process of assembling and running the UI interface on real devices called?	Деплоймент (Deployment)	Пускать поезда (Running trains)									
323	1	1	Что такое отзывчивый дизайн в UI? 	What is responsive design in UI?	Дизайн, который автоматически адаптируется под разные экраны устройств (Design that automatically adapts to different device screens)	Управление межгалактическими путешествиями (Interstellar travel management)									
324	1	1	Какой инструмент помогает выровнять элементы в UI? 	Which tool helps align elements in UI?	Рулетка (Ruler)	Матрешки (Matryoshkas)									
325	1	1	Что означает термин "выступ" в UI? 	What does the term "padding" mean in UI?	Отступы вокруг элемента (Margins around an element)	Магнит (Magnet)									
326	1	1	Что такое пользовательский опыт 	UX	Как пользователь взаимодействует с интерфейсом (How users interact with the interface)	Утепление стены (Wall insulation)									
327	1	1	Какие элементы интерфейса обычно объединяют в группу в UI? 	What elements of the interface are usually grouped together in UI?	Подвижная кнопка, текстовое поле, иконка (Floating button, text field, icon)	Обучение морских котиков (Training of sea lions)									
328	1	1	Что означает термин "жест" в UI? 	What does the term "gesture" mean in UI?	Движение, выполненное на сенсорном экране (A movement performed on a touchscreen)	Обрезка (Crop)									
329	1	1	Что такое "логотип" в UI? 	What is a "logo" in UI?	Идентификационный знак, представляющий бренд или компанию (An identifying symbol representing a brand or company)	Рукопожатие (Handshake)									
330	1	1	Что такое "выравнивание" в UI? 	What is "alignment" in UI?	Расположение элементов на странице в соответствии с определенной линией или плоскостью (Arrangement of elements on a page according to a specific line or plane)	Космический корабль (Spaceship)									
331	1	1	Что такое пользовательский интерфейс 	UI	Интерфейс, через который пользователь взаимодействует с приложением (The interface through which the user interacts with an application)	Поиск спутников (Satellite search)									
332	1	1	Что такое прототип в UI-дизайне? 	What is a prototype in UI design?	Модель или макет интерфейса, позволяющий проверить концепцию или функциональность (A model or layout of the interface that allows testing of the concept or functionality)	Deadpool									
333	1	1	Какой инструмент позволяет создавать интерактивные прототипы в Framer? 	Which tool allows creating interactive prototypes in Framer?	Code (Код)	Картонный строительный набор (Cardboard construction set)									
334	1	1	Что означает термин "пиксель" в UI? 	What does the term "pixel" mean in UI?	Наименьшая единица изображения на экране (The smallest unit of an image on a screen)	Hammer (Молоток)									
335	1	1	Что такое компонент в UI-дизайне? 	What is a component in UI design?	Переиспользуемый элемент интерфейса (A reusable interface element)	Маленький зеленый гоблин (Little green goblin)									
336	1	1	Какая роль у CSS в UI? 	What role does CSS play in UI?	Отвечает за внешний вид и стиль элементов интерфейса (Responsible for the appearance and style of interface elements)	Костюм Железного Человека (Iron Man's suit)									
337	1	1	Что такое векторная графика в UI? 	What is vector graphics in UI?	Графический формат, основанный на математических вычислениях, позволяющий масштабировать изображения без потери качества (A graphic format based on mathematical calculations, allowing images to be scaled without losing quality)	Коровы на пастбище (Cows in the pasture)									
338	1	1	Как называется техника в UI, при которой объекты выглядят так, будто находятся на трехмерной поверхности? 	What is the technique in UI where objects appear to be on a three-dimensional surface?	Реалистическая пространственность (Realistic spatiality)	Жизнь на планете Венера (Life on Venus)									
339	1	1	Что такое адаптивный дизайн в UI? 	What is responsive design in UI?	Дизайн, который адаптируется к различным размерам экранов (Design that adapts to different screen sizes)	Симуляция антигравитации (Anti-gravity simulation)									
340	1	1	Какой элемент UI используется для отображения текста? 	Which UI element is used to display text?	Текстовое поле (Text field)	Рост крылатых единорогов (Growth of winged unicorns)									
341	1	1	Что такое типографика в UI? 	What is typography in UI?	Искусство расположения и визуального оформления текста (The art of arranging and visually styling text)	Книжка с закладкой (Book with a bookmark)									
342	1	1	Какой инструмент в Framer позволяет задавать анимацию элементам UI? 	Which tool in Framer allows animating UI elements?	Animations (Анимации)	Рыцари Круглого стола (Knights of the Round Table)									
343	1	1	Что означает UX в UI-дизайне? 	What does UX mean in UI design?	Пользовательский опыт (User Experience)	Magic wand (Магическая палочка)									
344	1	1	Что такое цветовая схема в UI? 	What is a color scheme in UI?	Набор цветов, используемых для создания согласованного внешнего вида интерфейса (A set of colors used to create a cohesive visual appearance of the interface)	Розовый единорог (Pink unicorn)									
345	1	1	Какой элемент интерфейса позволяет пользователю взаимодействовать с UI? 	Which element of the interface allows the user to interact with UI?	Button (Кнопка)	Тайна Бермудского треугольника (Mystery of the Bermuda Triangle)									
346	1	1	Что такое комментарии кода в UI-дизайне? 	What are code comments in UI design?	Специальные пометки в коде, используемые для описания или пояснения его смысла (Special notes in the code used to describe or explain its meaning)	Spaceship control panel (Панель управления космическим  космическим кораблем)									
347	1	1	Как выровнять элементы интерфейса в Framer? 	How to align elements in Framer?	Использовать контрольные линии и указатели выравнивания (Use guides and alignment indicators)	Язык программирования для тайных сообщений (Programming language for secret messages)									
348	1	1	Что делает UI дизайнер с "мертвым" пространством на макете? 	What does a UI designer do with "dead" space in a layout?	Использует его для лучшей центровки и сбалансированности элементов (Uses it for better centering and balance of elements)	Спросить у контурной пилы (Ask the jigsaw)									
349	1	1	Что называется "сеткой" в UI дизайне? 	What is called a "grid" in UI design?	Инструмент для размещения и выравнивания элементов интерфейса (A tool for placing and aligning interface elements)	Возрождает "мертвое" пространство с помощью некромантии (Revives "dead" space with necromancy)									
